,tanggal,pm10,pm25,so2,co,o3,no2,co2
172,2022-04-18,53.24144,90.42134,35.53759,10.594878,26.178822,23.198193,1301.3335
173,2022-04-19,53.404808,92.355675,31.291338,9.460289,28.578518,27.89872,1555.3738
174,2022-04-20,52.210773,92.19304,29.869497,11.295919,27.793274,23.14778,1690.0753
175,2022-04-21,57.279446,89.081955,33.964863,13.827253,29.205719,18.33817,1617.6625
176,2022-04-22,55.924328,93.64097,29.529982,12.979786,29.348728,25.190052,1438.774
177,2022-04-23,58.104458,94.41293,29.601156,13.698944,30.76311,23.620373,1717.3293
178,2022-04-24,54.95625,98.61314,29.18821,13.667418,30.436283,18.92901,1700.0671
179,2022-04-25,61.026676,100.72551,26.65825,13.938967,31.988163,17.473272,1402.522
180,2022-04-26,58.01311,94.73557,27.60657,11.828367,32.88551,20.765287,1446.0038
181,2022-04-27,61.63661,96.52553,28.072283,11.283302,32.257465,22.009989,1241.6775
182,2022-04-28,57.43756,91.02271,27.212706,9.210987,31.352331,17.082752,1277.069
183,2022-04-29,58.27754,93.88838,27.932478,10.452237,28.642723,17.374725,1219.7411
184,2022-04-30,52.779446,83.10622,28.774267,10.045631,28.37204,18.531208,1228.7872
185,2022-05-01,56.816097,89.573235,26.032965,10.6932125,28.046974,20.761923,1264.6891
186,2022-05-02,54.961506,85.22217,25.35752,9.650797,27.775497,17.773254,1280.1478
187,2022-05-03,53.704544,83.605484,24.315126,9.445928,26.295502,17.052391,1225.1975
188,2022-05-04,51.761845,79.484314,24.635397,8.914,26.485163,15.051853,1153.5863
189,2022-05-05,50.376003,79.80656,24.421011,9.303074,25.401337,15.248061,1004.52454
190,2022-05-06,52.563988,81.92,27.502127,9.1875515,24.125751,17.028519,1030.1611
191,2022-05-07,47.99529,79.76636,30.416367,9.792135,24.294647,17.714066,1226.3489
192,2022-05-08,46.387676,76.96299,26.789656,10.710145,24.67831,17.473764,1156.2439
193,2022-05-09,48.462948,75.16093,25.257162,9.706905,25.419767,15.621703,1383.173
194,2022-05-10,43.91442,69.36193,23.882572,8.115681,28.598053,19.204084,995.4929
195,2022-05-11,45.2675,70.83152,23.461935,7.046281,31.470173,14.718702,907.2076
196,2022-05-12,43.48795,78.1615,24.507364,7.7259474,32.44217,10.179214,1082.1283
197,2022-05-13,47.79066,78.78935,25.206362,10.29693,34.65763,11.064055,1072.8691
198,2022-05-14,50.611126,89.14965,27.153992,9.27361,35.465218,13.45446,1151.4375
199,2022-05-15,47.551594,87.71314,24.111366,11.045427,35.846046,10.146329,1271.8405
200,2022-05-16,47.101177,75.13857,22.749506,10.19333,33.573288,8.321086,1092.4183
201,2022-05-17,50.09341,75.06326,23.366861,8.307252,31.793682,10.463292,893.4196
202,2022-05-18,42.19163,74.472626,23.278376,7.4108014,30.876614,11.214676,966.0795
203,2022-05-19,43.523537,68.27977,22.636631,7.8388867,30.937191,8.453926,930.1042
204,2022-05-20,45.490833,75.84998,23.751696,7.8366084,30.03481,10.074369,989.7713
205,2022-05-21,51.65311,85.76109,24.960833,9.307602,30.16001,9.93051,1119.2982
